os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Custom APU 0405,AMD Custom GPU 0405,12077680,5.13.0-valve36-1-neptune,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
81.8733,12214,60.9375,99,79,78,1600,687,1.58558,9,6.85954,3236430868
80.36,12444,60.9375,99,79,78,1600,687,1.58558,9,6.85954,3336930547
85.1209,11748,60.9375,99,79,78,1600,687,1.58558,9,6.85954,3436962997
88.6132,11285,65.7767,99,79,78,1599,687,1.58558,8,6.85772,3536990976
78.6225,12719,65.7767,99,79,78,1599,687,1.58558,8,6.85772,3637033855
86.1326,11610,65.7767,99,79,78,1599,687,1.58558,8,6.85772,3737067844
82.5559,12113,65.7767,99,79,78,1599,687,1.58558,8,6.85772,3837116843
69.4348,14402,65.7767,99,79,78,1599,687,1.58558,8,6.85772,3937152812
98.6485,10137,60,99,79,78,1599,687,1.58558,8,6.86084,4037183772
76.4234,13085,60,99,79,78,1599,687,1.58558,8,6.86084,4137334701
98.2704,10176,60,99,79,78,1599,687,1.58558,8,6.86084,4237484660
84.4309,11844,60,99,79,78,1599,687,1.58558,8,6.86084,4337517939
79.6115,12561,60,99,79,78,1599,687,1.58558,8,6.86084,4437544378
80.2311,12464,62.2871,99,79,78,1600,687,1.58558,9,6.86087,4537574767
84.0548,11897,62.2871,99,79,78,1600,687,1.58558,9,6.86087,4637611077
79.2707,12615,62.2871,99,79,78,1600,687,1.58558,9,6.86087,4737640936
85.8074,11654,62.2871,99,79,78,1600,687,1.58558,9,6.86087,4837673345
117.772,8491,62.2871,99,79,78,1600,687,1.58558,9,6.86087,4937718994
85.1861,11739,64.25,99,79,79,1600,687,1.58564,9,6.88776,5037755693
88.347,11319,64.25,99,79,79,1600,687,1.58564,9,6.88776,5137788642
85.3679,11714,64.25,99,79,79,1600,687,1.58564,9,6.88776,5237835882
79.3021,12610,64.25,99,79,79,1600,687,1.58564,9,6.88776,5337871091
97.0968,10299,64.25,99,79,79,1600,687,1.58564,9,6.88776,5437919990
85.1934,11738,65.9314,99,79,78,1599,687,1.58564,9,6.89001,5537951309
85.2588,11729,65.9314,99,79,78,1599,687,1.58564,9,6.89001,5637987598
79.7703,12536,65.9314,99,79,78,1599,687,1.58564,9,6.89001,5738027178
93.0665,10745,65.9314,99,79,78,1599,687,1.58564,9,6.89001,5838075807
89.5816,11163,65.9314,99,79,78,1599,687,1.58564,9,6.89001,5938133906
90.6043,11037,64.6766,99,79,81,1600,687,1.58569,9,6.92454,6038305655
90.0901,11100,64.6766,99,79,81,1600,687,1.58569,9,6.92454,6138334934
97.8952,10215,64.6766,99,79,81,1600,687,1.58569,9,6.92454,6238372023
95.9601,10421,64.6766,99,79,81,1600,687,1.58569,9,6.92454,6338402153
86.9565,11500,64.6766,99,79,81,1600,687,1.58569,9,6.92454,6438440952
86.3782,11577,61.7284,98,79,78,1582,687,1.58572,8,6.95431,6538474271
87.4661,11433,61.7284,98,79,78,1582,687,1.58572,8,6.95431,6638508350
61.8009,16181,61.7284,98,79,78,1582,687,1.58572,8,6.95431,6738544459
88.0049,11363,61.7284,98,79,78,1582,687,1.58572,8,6.95431,6838577638
87.0777,11484,61.7284,98,79,78,1582,687,1.58572,8,6.95431,6938605718
100.1,9990,63.2754,97,79,79,1574,687,1.58576,9,6.98204,7038635237
78.0762,12808,63.2754,97,79,79,1574,687,1.58576,9,6.98204,7138667466
88.4956,11300,63.2754,97,79,79,1574,687,1.58576,9,6.98204,7238695625
97.4089,10266,63.2754,97,79,79,1574,687,1.58576,9,6.98204,7338727394
83.0841,12036,63.2754,97,79,79,1574,687,1.58576,9,6.98204,7438760523
99.95,10005,64.3032,96,80,78,1551,687,1.58578,8,7.02106,7538799593
90.9422,10996,64.3032,96,80,78,1551,687,1.58578,8,7.02106,7638848192
100.624,9938,64.3032,96,80,78,1551,687,1.58578,8,7.02106,7738878441
72.2648,13838,64.3032,96,80,78,1551,687,1.58578,8,7.02106,7838910020
92.5412,10806,64.3032,96,80,78,1551,687,1.58578,8,7.02106,7938949339
133.797,7474,65.6716,99,80,79,1598,687,1.58578,9,7.0209,8038992428
77.5374,12897,65.6716,99,80,79,1598,687,1.58578,9,7.0209,8139031348
76.3709,13094,65.6716,99,80,79,1598,687,1.58578,9,7.0209,8239065497
